cast,certificates,director,genres,image,plot outline,rating,runtime,title,votes,year,id
"['Blake Lively', 'Michiel Huisman', 'Harrison Ford', 'Ellen Burstyn']","['Argentina:13', 'Australia:M', 'Austria:8', 'Brazil:12', 'Canada:PG::(Alberta/Manitoba/Ontario)', 'Canada:G::(British Columbia)', 'Chile:TE', 'Colombia:7', 'Egypt:PG-13::(self-applied)', 'France:Tous publics', 'Germany:6', 'Hong Kong:IIA', 'Hungary:12', 'India:13::(self-applied)', 'Indonesia:13+::(self-applied)', 'Ireland:PG', 'Israel:ALL', 'Italy:T', 'Japan:G', 'Lithuania:N-13', 'Mexico:B', 'Netherlands:9', 'New Zealand:M', 'Norway:12::(VOD)', 'Philippines:PG-13', 'Poland:12', 'Portugal:M/12', 'Singapore:PG', 'South Africa:7-9PG', 'South Korea:12', 'Spain:7', 'Sweden:11', 'Switzerland:12', 'Taiwan:0+', 'Turkey:13A::(self-applied)', 'United Kingdom:12A', 'United Kingdom:12::(DVD rating)', 'United States:PG-13', 'United Arab Emirates:PG-15::(self-applied)']",['Lee Toland Krieger'],"['Drama', 'Fantasy', 'Romance']",https://m.media-amazon.com/images/M/MV5BMTAzMTQzMTA2MjheQTJeQWpwZ15BbWU4MDk2MTg2MzUx.jpg,"After miraculously remaining 29 years old for almost eight decades, Adaline Bowman has lived a solitary existence, never allowing herself to get close to anyone who might reveal her secret. But a chance encounter with charismatic philanthropist Ellis Jones reignites her passion for life and romance. When a weekend with his parents threatens to uncover the truth, Adaline makes a decision that will change her life forever.",7.2,['112'],The Age of Adaline,194087,2015,0
"['Patrick Swayze', 'Demi Moore', 'Tony Goldwyn', 'Stanley Lawrence']","['Argentina:13', 'Australia:M', 'Brazil:Livre', 'Brazil:14::(DVD rating)', 'Brazil:10::(TV rating)', 'Brazil:12', 'Bulgaria:B', 'Canada:14A::(Canadian Home Video rating)', 'Canada:PG::(Manitoba)', 'Canada:A::(Nova Scotia)', 'Canada:AA::(Ontario)', 'Canada:G::(Quebec)', 'Czechia:U', 'Denmark:12', 'Egypt:Not Rated::(DVD rating)', 'Finland:K-14', 'France:Tous publics', 'Germany:12', 'Hong Kong:II', 'Hungary:12', 'Iceland:14', 'Iceland:16::(video rating)', 'India:UA', 'India:A', 'Indonesia:21::(self-applied)', 'Israel:14::(self-applied)', 'Italy:T', 'Japan:G', 'Malaysia:U', 'Mexico:B', 'Netherlands:12', 'New Zealand:M', 'Nigeria:PG', 'Norway:12::(Netflix self-rating)', 'Norway:15::(cinema rating)', 'Peru:14', 'Philippines:16+::(self-applied)', 'Poland:12::(self-applied)', 'Portugal:M/12', 'Russia:14+', 'Russia:12+::(video)', 'Saudi Arabia:PG', 'Singapore:PG', 'Singapore:PG13', 'South Africa:13', 'South Africa:16+::(self-applied)', 'South Korea:15', 'South Korea:12::(cable rating)', 'Spain:12::(ICAA)', 'Spain:16::(TV rating)', 'Spain:13::(video rating)', 'Sweden:15', 'Taiwan:PG-12', 'Taiwan:PG-12', 'Thailand:16 +::(self-applied)', 'Turkey:7+::(self-applied)', 'United Kingdom:12A', 'United Kingdom:15::(video rating)', 'United Kingdom:12::(cinema rating)', 'United States:TV-14', 'United States:PG-13', 'United Arab Emirates:PG-15']",['Jerry Zucker'],"['Drama', 'Fantasy', 'Romance', 'Thriller']",https://m.media-amazon.com/images/M/MV5BMmE4ZjI3YzctNjM0YS00MjBlLWFmYjItNDRiNTk0ZmRkYjVjXkEyXkFqcGdeQXVyNjc3MjQzNTI@.jpg,"Sam Wheat is a banker, Molly Jensen is an artist, and the two are madly in love. However, when Sam is murdered by friend and corrupt business partner Carl Bruner over a shady business deal, he is left to roam the Earth as a powerless spirit. When he learns of Carl's betrayal, Sam must seek the help of psychic Oda Mae Brown to set things right and protect Molly from Carl and his goons.",7.1,['127'],Ghost,228501,1990,1
